"Symbol"	"Entrez"	"Description"
"THSD7A"	"221981"	"thrombospondin type 1 domain containing 7A"
"LIG3"	"3980"	"DNA ligase 3"
"RPAP3"	"79657"	"RNA polymerase II associated protein 3"
"ACSM3"	"6296"	"acyl-CoA synthetase medium chain family member 3"
"REXO5"	"81691"	"RNA exonuclease 5"
"CIAPIN1"	"57019"	"cytokine induced apoptosis inhibitor 1"
"SPPL2B"	"56928"	"signal peptide peptidase like 2B"
"ATOSB"	"80256"	"atos homolog B"
"COPZ2"	"51226"	"COPI coat complex subunit zeta 2"
"PRKAR2B"	"5577"	"protein kinase cAMP-dependent type II regulatory subunit beta"
"MSL3"	"10943"	"MSL complex subunit 3"
"CREBBP"	"1387"	"CREB binding protein"
"TSPOAP1"	"9256"	"TSPO associated protein 1"
"MPO"	"4353"	"myeloperoxidase"
"PON1"	"5444"	"paraoxonase 1"
"GCFC2"	"6936"	"GC-rich sequence DNA-binding factor 2"
"WDR54"	"84058"	"WD repeat domain 54"
"CROT"	"54677"	"carnitine O-octanoyltransferase"
"ABCB4"	"5244"	"ATP binding cassette subfamily B member 4"
"KMT2E"	"55904"	"lysine methyltransferase 2E (inactive)"
"RHBDD2"	"57414"	"rhomboid domain containing 2"
"SOX8"	"30812"	"SRY-box transcription factor 8"
"IBTK"	"25998"	"inhibitor of Bruton tyrosine kinase"
"ZNF195"	"7748"	"zinc finger protein 195"
"MYCBP2"	"23077"	"MYC binding protein 2"
"FBXL3"	"26224"	"F-box and leucine rich repeat protein 3"
"ITGAL"	"3683"	"integrin subunit alpha L"
"PDK2"	"5164"	"pyruvate dehydrogenase kinase 2"
"ITGA3"	"3675"	"integrin subunit alpha 3"
"ZFX"	"7543"	"zinc finger protein X-linked"
"LAMP2"	"3920"	"lysosomal associated membrane protein 2"
"ITGA2B"	"3674"	"integrin subunit alpha 2b"
"ASB4"	"51666"	"ankyrin repeat and SOCS box containing 4"
"GDE1"	"51573"	"glycerophosphodiester phosphodiesterase 1"
"REX1BD"	"55049"	"required for excision 1-B domain containing"
"CRLF1"	"9244"	"cytokine receptor like factor 1"
"OSBPL7"	"114881"	"oxysterol binding protein like 7"
"TMEM98"	"26022"	"transmembrane protein 98"
"YBX2"	"51087"	"Y-box binding protein 2"
"KRT33A"	"3883"	"keratin 33A"
"MAP3K14"	"9020"	"mitogen-activated protein kinase kinase kinase 14"
"ABCC8"	"6833"	"ATP binding cassette subfamily C member 8"
"CACNG3"	"10368"	"calcium voltage-gated channel auxiliary subunit gamma 3"
"TMEM132A"	"54972"	"transmembrane protein 132A"
"AP2B1"	"163"	"adaptor related protein complex 2 subunit beta 1"
"TAC1"	"6863"	"tachykinin precursor 1"
"ZNF263"	"10127"	"zinc finger protein 263"
"CX3CL1"	"6376"	"C-X3-C motif chemokine ligand 1"
"SPATA20"	"64847"	"spermatogenesis associated 20"
"CACNA1G"	"8913"	"calcium voltage-gated channel subunit alpha1 G"
"TNFRSF12A"	"51330"	"TNF receptor superfamily member 12A"
"DLX6"	"1750"	"distal-less homeobox 6"
"MAP3K9"	"4293"	"mitogen-activated protein kinase kinase kinase 9"
"RALA"	"5898"	"RAS like proto-oncogene A"
"BAIAP2L1"	"55971"	"BAR/IMD domain containing adaptor protein 2 like 1"
"KDM7A"	"80853"	"lysine demethylase 7A"
"ETV1"	"2115"	"ETS variant transcription factor 1"
"AGK"	"55750"	"acylglycerol kinase"
"ALDH3B1"	"221"	"aldehyde dehydrogenase 3 family member B1"
"TTC22"	"55001"	"tetratricopeptide repeat domain 22"
"PHTF2"	"57157"	"putative homeodomain transcription factor 2"
"CCL26"	"10344"	"C-C motif chemokine ligand 26"
"FARP2"	"9855"	"FERM, ARH/RhoGEF and pleckstrin domain protein 2"
"USH1C"	"10083"	"USH1 protein network component harmonin"
"GGCT"	"79017"	"gamma-glutamylcyclotransferase"
"DBF4"	"10926"	"DBF4 zinc finger"
"TBXA2R"	"6915"	"thromboxane A2 receptor"
"IFRD1"	"3475"	"interferon related developmental regulator 1"
"LGALS14"	"56891"	"galectin 14"
"COX10"	"1352"	"cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10"
"GTF2IRD1"	"9569"	"GTF2I repeat domain containing 1"
"PAF1"	"54623"	"PAF1 homolog, Paf1/RNA polymerase II complex component"
"VPS41"	"27072"	"VPS41 subunit of HOPS complex"
"ARHGAP44"	"9912"	"Rho GTPase activating protein 44"
"ELAC2"	"60528"	"elaC ribonuclease Z 2"
"SCIN"	"85477"	"scinderin"
"ARSD"	"414"	"arylsulfatase D"
"PNPLA4"	"8228"	"patatin like phospholipase domain containing 4"
"MYH13"	"8735"	"myosin heavy chain 13"
"ADIPOR2"	"79602"	"adiponectin receptor 2"
"CDKL3"	"51265"	"cyclin dependent kinase like 3"
"UPP2"	"151531"	"uridine phosphorylase 2"
"PRSS21"	"10942"	"serine protease 21"
"MARK4"	"57787"	"microtubule affinity regulating kinase 4"
"PROM1"	"8842"	"prominin 1"
"CCDC124"	"115098"	"coiled-coil domain containing 124"
"CEACAM21"	"90273"	"CEA cell adhesion molecule 21"
"PAFAH1B1"	"5048"	"platelet activating factor acetylhydrolase 1b regulatory subunit 1"
"NOS2"	"4843"	"nitric oxide synthase 2"
"DNAH9"	"1770"	"dynein axonemal heavy chain 9"
"BLTP2"	"9703"	"bridge-like lipid transfer protein family member 2"
"SLC13A2"	"9058"	"solute carrier family 13 member 2"
"GAS7"	"8522"	"growth arrest specific 7"
"TRAPPC6A"	"79090"	"trafficking protein particle complex subunit 6A"
"MATK"	"4145"	"megakaryocyte-associated tyrosine kinase"
"CEACAM7"	"1087"	"CEA cell adhesion molecule 7"
"CD79B"	"974"	"CD79b molecule"
"SCN4A"	"6329"	"sodium voltage-gated channel alpha subunit 4"
"ST7L"	"54879"	"suppression of tumorigenicity 7 like"
"TKTL1"	"8277"	"transketolase like 1"
"PAX6"	"5080"	"paired box 6"
"RPUSD1"	"113000"	"RNA pseudouridine synthase domain containing 1"
"RHBDF1"	"64285"	"rhomboid 5 homolog 1"
"LUC7L"	"55692"	"LUC7 like"
"CACNA2D2"	"9254"	"calcium voltage-gated channel auxiliary subunit alpha2delta 2"
"BAIAP3"	"8938"	"BAI1 associated protein 3"
"TSR3"	"115939"	"TSR3 ribosome maturation factor"
"PIGQ"	"9091"	"phosphatidylinositol glycan anchor biosynthesis class Q"
"CRAMP1"	"57585"	"cramped chromatin regulator homolog 1"
"TEAD3"	"7005"	"TEA domain transcription factor 3"
"SELE"	"6401"	"selectin E"
"DNAJC11"	"55735"	"DnaJ heat shock protein family (Hsp40) member C11"
"FMO3"	"2328"	"flavin containing dimethylaniline monoxygenase 3"
"MYLIP"	"29116"	"myosin regulatory light chain interacting protein"
"NOX1"	"27035"	"NADPH oxidase 1"
"E2F2"	"1870"	"E2F transcription factor 2"
"PSMB1"	"5689"	"proteasome 20S subunit beta 1"
"SYN1"	"6853"	"synapsin I"
"JARID2"	"3720"	"jumonji and AT-rich interaction domain containing 2"
"CDKL5"	"6792"	"cyclin dependent kinase like 5"
"CAMK1G"	"57172"	"calcium/calmodulin dependent protein kinase IG"
"CDK11A"	"728642"	"cyclin dependent kinase 11A"
"NADK"	"65220"	"NAD kinase"
"TFAP2B"	"7021"	"transcription factor AP-2 beta"
"TFAP2D"	"83741"	"transcription factor AP-2 delta"
"DLEC1"	"9940"	"DLEC1 cilia and flagella associated protein"
"CYTH3"	"9265"	"cytohesin 3"
"ADAM22"	"53616"	"ADAM metallopeptidase domain 22"
"SYPL1"	"6856"	"synaptophysin like 1"
"CYB561"	"1534"	"cytochrome b561"
"SPAG9"	"9043"	"sperm associated antigen 9"
"CELSR3"	"1951"	"cadherin EGF LAG seven-pass G-type receptor 3"
"AASS"	"10157"	"aminoadipate-semialdehyde synthase"
"PLEKHG6"	"55200"	"pleckstrin homology and RhoGEF domain containing G6"
"SS18L2"	"51188"	"SS18 like 2"
"MPND"	"84954"	"MPN domain containing"
"MGST1"	"4257"	"microsomal glutathione S-transferase 1"
"CRY1"	"1407"	"cryptochrome circadian regulator 1"
"PGLYRP1"	"8993"	"peptidoglycan recognition protein 1"
"NFIX"	"4784"	"nuclear factor I X"
"ST3GAL1"	"6482"	"ST3 beta-galactoside alpha-2,3-sialyltransferase 1"
"MMP25"	"64386"	"matrix metallopeptidase 25"
"IL32"	"9235"	"interleukin 32"
"PKD1"	"5310"	"polycystin 1, transient receptor potential channel interacting"
"MAPK8IP2"	"23542"	"mitogen-activated protein kinase 8 interacting protein 2"
"MED24"	"9862"	"mediator complex subunit 24"
"RHOBTB2"	"23221"	"Rho related BTB domain containing 2"
"HEATR5B"	"54497"	"HEAT repeat containing 5B"
"SEC62"	"7095"	"SEC62 homolog, preprotein translocation factor"
"RPS20"	"6224"	"ribosomal protein S20"
"CSDE1"	"7812"	"cold shock domain containing E1"
"UBE3C"	"9690"	"ubiquitin protein ligase E3C"
"REV3L"	"5980"	"REV3 like, DNA directed polymerase zeta catalytic subunit"
"TENM1"	"10178"	"teneurin transmembrane protein 1"
"PAX7"	"5081"	"paired box 7"
"MASP2"	"10747"	"MBL associated serine protease 2"
"IYD"	"389434"	"iodotyrosine deiodinase"
"FAM76A"	"199870"	"family with sequence similarity 76 member A"
"TRAF3IP3"	"80342"	"TRAF3 interacting protein 3"
"POMT2"	"29954"	"protein O-mannosyltransferase 2"
"VTA1"	"51534"	"vesicle trafficking 1"
"MLXIPL"	"51085"	"MLX interacting protein like"
"BAZ1B"	"9031"	"bromodomain adjacent to zinc finger domain 1B"
"RANBP9"	"10048"	"RAN binding protein 9"
"ETV7"	"51513"	"ETS variant transcription factor 7"
"SPRTN"	"83932"	"SprT-like N-terminal domain"
"METTL13"	"51603"	"methyltransferase 13, eEF1A lysine and N-terminal methyltransferase"
"DYRK4"	"8798"	"dual specificity tyrosine phosphorylation regulated kinase 4"
"ZNF207"	"7756"	"zinc finger protein 207"
"UQCRC1"	"7384"	"ubiquinol-cytochrome c reductase core protein 1"
"STARD3NL"	"83930"	"STARD3 N-terminal like"
"CD9"	"928"	"CD9 molecule"
"HHATL"	"57467"	"hedgehog acyltransferase like"
"NCAPD2"	"9918"	"non-SMC condensin I complex subunit D2"
"IFFO1"	"25900"	"intermediate filament family orphan 1"
"GIPR"	"2696"	"gastric inhibitory polypeptide receptor"
"PHF7"	"51533"	"PHD finger protein 7"
"SEMA3G"	"56920"	"semaphorin 3G"
"NISCH"	"11188"	"nischarin"
"STAB1"	"23166"	"stabilin 1"
"FUZ"	"80199"	"fuzzy planar cell polarity protein"
"SLC6A13"	"6540"	"solute carrier family 6 member 13"
"IDS"	"3423"	"iduronate 2-sulfatase"
"PRSS3"	"5646"	"serine protease 3"
"ZNF200"	"7752"	"zinc finger protein 200"
"CD4"	"920"	"CD4 molecule"
"LRRC23"	"10233"	"leucine rich repeat containing 23"
"BTK"	"695"	"Bruton tyrosine kinase"
"HFE"	"3077"	"homeostatic iron regulator"
"SCMH1"	"22955"	"Scm polycomb group protein homolog 1"
"FYN"	"2534"	"FYN proto-oncogene, Src family tyrosine kinase"
"HIVEP2"	"3097"	"HIVEP zinc finger 2"
"FMO1"	"2326"	"flavin containing dimethylaniline monoxygenase 1"
"ELOA"	"6924"	"elongin A"
"LYPLA2"	"11313"	"lysophospholipase 2"
"CLCN6"	"1185"	"chloride voltage-gated channel 6"
"MRC2"	"9902"	"mannose receptor C type 2"
"NME1-NME2"	"654364"	"NME1-NME2 readthrough"
"SLC6A7"	"6534"	"solute carrier family 6 member 7"
"TSPAN9"	"10867"	"tetraspanin 9"
"BTBD7"	"55727"	"BTB domain containing 7"
"APBA3"	"9546"	"amyloid beta precursor protein binding family A member 3"
"MKS1"	"54903"	"MKS transition zone complex subunit 1"
"ABHD5"	"51099"	"abhydrolase domain containing 5, lysophosphatidic acid acyltransferase"
"ANOS1"	"3730"	"anosmin 1"
"AKAP8L"	"26993"	"A-kinase anchoring protein 8 like"
"MBTD1"	"54799"	"mbt domain containing 1"
"UTP18"	"51096"	"UTP18 small subunit processome component"
"RNF216"	"54476"	"ring finger protein 216"
"TTC19"	"54902"	"tetratricopeptide repeat domain 19"
"PTBP1"	"5725"	"polypyrimidine tract binding protein 1"
"DPF1"	"8193"	"double PHD fingers 1"
"SYT7"	"9066"	"synaptotagmin 7"
"LARS2"	"23395"	"leucyl-tRNA synthetase 2, mitochondrial"
"PIK3C2A"	"5286"	"phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha"
"PLAUR"	"5329"	"plasminogen activator, urokinase receptor"
"ANLN"	"54443"	"anillin, actin binding protein"
"WIZ"	"58525"	"WIZ zinc finger"
"RABGAP1"	"23637"	"RAB GTPase activating protein 1"
"DCN"	"1634"	"decorin"
"QPCTL"	"54814"	"glutaminyl-peptide cyclotransferase like"
"PPP5C"	"5536"	"protein phosphatase 5 catalytic subunit"
"CEP68"	"23177"	"centrosomal protein 68"
"MAP4K3"	"8491"	"mitogen-activated protein kinase kinase kinase kinase 3"
"ZBTB32"	"27033"	"zinc finger and BTB domain containing 32"
"TYROBP"	"7305"	"transmembrane immune signaling adaptor TYROBP"
"LDAF1"	"57146"	"lipid droplet assembly factor 1"
"GABRA3"	"2556"	"gamma-aminobutyric acid type A receptor subunit alpha3"
"BRCA1"	"672"	"BRCA1 DNA repair associated"
"ERCC1"	"2067"	"ERCC excision repair 1, endonuclease non-catalytic subunit"
"CD22"	"933"	"CD22 molecule"
"SEMA3B"	"7869"	"semaphorin 3B"
"MBTPS2"	"51360"	"membrane bound transcription factor peptidase, site 2"
"PRICKLE3"	"4007"	"prickle planar cell polarity protein 3"
"LTF"	"4057"	"lactotransferrin"
"EXTL3"	"2137"	"exostosin like glycosyltransferase 3"
"NR1H4"	"9971"	"nuclear receptor subfamily 1 group H member 4"
"ELOVL5"	"60481"	"ELOVL fatty acid elongase 5"
"ALOX5"	"240"	"arachidonate 5-lipoxygenase"
"KDM5D"	"8284"	"lysine demethylase 5D"
"CALCOCO1"	"57658"	"calcium binding and coiled-coil domain 1"
"UBR7"	"55148"	"ubiquitin protein ligase E3 component n-recognin 7"
"MAP4K5"	"11183"	"mitogen-activated protein kinase kinase kinase kinase 5"
"EHD3"	"30845"	"EH domain containing 3"
"PSMC4"	"5704"	"proteasome 26S subunit, ATPase 4"
"MAN2B2"	"23324"	"mannosidase alpha class 2B member 2"
"SLC7A14"	"57709"	"solute carrier family 7 member 14"
"CLDN11"	"5010"	"claudin 11"
"SLC25A39"	"51629"	"solute carrier family 25 member 39"
"MVP"	"9961"	"major vault protein"
"NUB1"	"51667"	"negative regulator of ubiquitin like proteins 1"
"PGM3"	"5238"	"phosphoglucomutase 3"
"RWDD2A"	"112611"	"RWD domain containing 2A"
"CLK1"	"1195"	"CDC like kinase 1"
"POLR3B"	"55703"	"RNA polymerase III subunit B"
"ANGEL1"	"23357"	"angel homolog 1"
"RNF14"	"9604"	"ring finger protein 14"
"DNASE1L1"	"1774"	"deoxyribonuclease 1 like 1"
"DDX11"	"1663"	"DEAD/H-box helicase 11"
"HEBP1"	"50865"	"heme binding protein 1"
"GPRC5A"	"9052"	"G protein-coupled receptor class C group 5 member A"
"MAMLD1"	"10046"	"mastermind like domain containing 1"
"CD6"	"923"	"CD6 molecule"
"TACC3"	"10460"	"transforming acidic coiled-coil containing protein 3"
"UFL1"	"23376"	"UFM1 specific ligase 1"
"POLA2"	"23649"	"DNA polymerase alpha 2, accessory subunit"
"ZC3H3"	"23144"	"zinc finger CCCH-type containing 3"
"CAPN1"	"823"	"calpain 1"
"ACP3"	"55"	"acid phosphatase 3"
"MDH1"	"4190"	"malate dehydrogenase 1"
"SLC30A9"	"10463"	"solute carrier family 30 member 9"
"MTMR11"	"10903"	"myotubularin related protein 11"
"COX15"	"1355"	"cytochrome c oxidase assembly homolog COX15"
"CCDC88C"	"440193"	"coiled-coil domain containing 88C"
"YAF2"	"10138"	"YY1 associated factor 2"
"ZMYND11"	"10771"	"zinc finger MYND-type containing 11"
"WAS"	"7454"	"WASP actin nucleation promoting factor"
"DPEP1"	"1800"	"dipeptidase 1"
"BID"	"637"	"BH3 interacting domain death agonist"
"NPC1L1"	"29881"	"NPC1 like intracellular cholesterol transporter 1"
"XYLT2"	"64132"	"xylosyltransferase 2"
"RGPD5"	"727851"	"RANBP2 like and GRIP domain containing 5"
"STMN4"	"81551"	"stathmin 4"
"NUDCD3"	"23386"	"NudC domain containing 3"
"ISL1"	"3670"	"ISL LIM homeobox 1"
"CHDH"	"55349"	"choline dehydrogenase"
"IL20RA"	"53832"	"interleukin 20 receptor subunit alpha"
"CLCA1"	"1179"	"chloride channel accessory 1"
"CLCA4"	"22802"	"chloride channel accessory 4"
"GLT8D1"	"55830"	"glycosyltransferase 8 domain containing 1"
"ATP2C1"	"27032"	"ATPase secretory pathway Ca2+ transporting 1"
"IGF1"	"3479"	"insulin like growth factor 1"
"SLC38A5"	"92745"	"solute carrier family 38 member 5"
"RALBP1"	"10928"	"ralA binding protein 1"
"RUFY3"	"22902"	"RUN and FYVE domain containing 3"
"CNTN1"	"1272"	"contactin 1"
"SLC11A1"	"6556"	"solute carrier family 11 member 1"
"WWTR1"	"25937"	"WW domain containing transcription regulator 1"
"AGPS"	"8540"	"alkylglycerone phosphate synthase"
"ZNF285CP"	"-"	"-"
"STEEP1"	"63932"	"STING1 ER exit protein 1"
"ATP1A2"	"477"	"ATPase Na+/K+ transporting subunit alpha 2"
"TTC27"	"55622"	"tetratricopeptide repeat domain 27"
"ZNF582"	"147948"	"zinc finger protein 582"
"VSIG2"	"23584"	"V-set and immunoglobulin domain containing 2"
"PHLDB1"	"23187"	"pleckstrin homology like domain family B member 1"
"MARCO"	"8685"	"macrophage receptor with collagenous structure"
"CYP24A1"	"1591"	"cytochrome P450 family 24 subfamily A member 1"
"PRDM11"	"56981"	"PR/SET domain 11"
"SYT13"	"57586"	"synaptotagmin 13"
"SNAI2"	"6591"	"snail family transcriptional repressor 2"
"CD74"	"972"	"CD74 molecule"
"HGF"	"3082"	"hepatocyte growth factor"
"ZRANB1"	"54764"	"zinc finger RANBP2-type containing 1"
"NCDN"	"23154"	"neurochondrin"
"ADGRA2"	"25960"	"adhesion G protein-coupled receptor A2"
"CCT8L1P"	"-"	"-"
"ZFP64"	"55734"	"ZFP64 zinc finger protein"
"MNAT1"	"4331"	"MNAT1 component of CDK activating kinase"
"SAMD4A"	"23034"	"sterile alpha motif domain containing 4A"
"RUNX3"	"864"	"RUNX family transcription factor 3"
"MRE11"	"4361"	"MRE11 homolog, double strand break repair nuclease"
"PLEKHB1"	"58473"	"pleckstrin homology domain containing B1"
"SERPINB1"	"1992"	"serpin family B member 1"
"CYP3A43"	"64816"	"cytochrome P450 family 3 subfamily A member 43"
"SLC7A9"	"11136"	"solute carrier family 7 member 9"
"SPAST"	"6683"	"spastin"
"NRXN3"	"9369"	"neurexin 3"
"OSBPL5"	"114879"	"oxysterol binding protein like 5"
"AQR"	"9716"	"aquarius intron-binding spliceosomal factor"
"CPS1"	"1373"	"carbamoyl-phosphate synthase 1"
"C8B"	"732"	"complement C8 beta chain"
"FHL1"	"2273"	"four and a half LIM domains 1"
"RTF2"	"51507"	"replication termination factor 2"
"GABRA1"	"2554"	"gamma-aminobutyric acid type A receptor subunit alpha1"
"NLRP2"	"55655"	"NLR family pyrin domain containing 2"
"SLC45A4"	"57210"	"solute carrier family 45 member 4"
"RNF10"	"9921"	"ring finger protein 10"
"ZNF839"	"55778"	"zinc finger protein 839"
"ZDHHC6"	"64429"	"zinc finger DHHC-type palmitoyltransferase 6"
"GRAMD1B"	"57476"	"GRAM domain containing 1B"
"RNH1"	"6050"	"ribonuclease/angiogenin inhibitor 1"
"NDUFS1"	"4719"	"NADH:ubiquinone oxidoreductase core subunit S1"
"RB1CC1"	"9821"	"RB1 inducible coiled-coil 1"
"ERP44"	"23071"	"endoplasmic reticulum protein 44"
"ALAS1"	"211"	"5'-aminolevulinate synthase 1"
"BIRC3"	"330"	"baculoviral IAP repeat containing 3"
"AKAP11"	"11215"	"A-kinase anchoring protein 11"
"GLRX2"	"51022"	"glutaredoxin 2"
"SNAPC1"	"6617"	"small nuclear RNA activating complex polypeptide 1"
"DERA"	"51071"	"deoxyribose-phosphate aldolase"
"STRAP"	"11171"	"serine/threonine kinase receptor associated protein"
"ABCC2"	"1244"	"ATP binding cassette subfamily C member 2"
"DEF6"	"50619"	"DEF6 guanine nucleotide exchange factor"
"PLEKHO1"	"51177"	"pleckstrin homology domain containing O1"
"GCLM"	"2730"	"glutamate-cysteine ligase modifier subunit"
"UBR2"	"23304"	"ubiquitin protein ligase E3 component n-recognin 2"
"EHD2"	"30846"	"EH domain containing 2"
"DEPDC1"	"55635"	"DEP domain containing 1"
"CCDC28A"	"25901"	"coiled-coil domain containing 28A"
"RRAGD"	"58528"	"Ras related GTP binding D"
"HSF2"	"3298"	"heat shock transcription factor 2"
"PHF20"	"51230"	"PHD finger protein 20"
"HSD17B6"	"8630"	"hydroxysteroid 17-beta dehydrogenase 6"
"NR1H3"	"10062"	"nuclear receptor subfamily 1 group H member 3"
"TYMP"	"1890"	"thymidine phosphorylase"
"NCAPH2"	"29781"	"non-SMC condensin II complex subunit H2"
"TOMM34"	"10953"	"translocase of outer mitochondrial membrane 34"
"SEC63"	"11231"	"SEC63 homolog, protein translocation regulator"
"KPNA6"	"23633"	"karyopherin subunit alpha 6"
"VIM"	"7431"	"vimentin"
"RTEL1-TNFRSF6B"	"-"	"-"
"FAS"	"355"	"Fas cell surface death receptor"
"RNASET2"	"8635"	"ribonuclease T2"
"CD44"	"960"	"CD44 molecule (Indian blood group)"
"KCNG1"	"3755"	"potassium voltage-gated channel modifier subfamily G member 1"
"AGPAT4"	"56895"	"1-acylglycerol-3-phosphate O-acyltransferase 4"
"SLAMF7"	"57823"	"SLAM family member 7"
"BTN3A1"	"11119"	"butyrophilin subfamily 3 member A1"
"MIPEP"	"4285"	"mitochondrial intermediate peptidase"
"PRKCH"	"5583"	"protein kinase C eta"
"INSRR"	"3645"	"insulin receptor related receptor"
"IFNGR1"	"3459"	"interferon gamma receptor 1"
"B4GALT7"	"11285"	"beta-1,4-galactosyltransferase 7"
"SH2D2A"	"9047"	"SH2 domain containing 2A"
"VRK2"	"7444"	"VRK serine/threonine kinase 2"
"TNFRSF1B"	"7133"	"TNF receptor superfamily member 1B"
"VEZT"	"55591"	"vezatin, adherens junctions transmembrane protein"
"POU2F2"	"5452"	"POU class 2 homeobox 2"
"BRD9"	"65980"	"bromodomain containing 9"
"SNX1"	"6642"	"sorting nexin 1"
"TBPL1"	"9519"	"TATA-box binding protein like 1"
"BMAL2"	"56938"	"basic helix-loop-helix ARNT like 2"
"BCLAF1"	"9774"	"BCL2 associated transcription factor 1"
"SLC39A9"	"55334"	"solute carrier family 39 member 9"
"ANK1"	"286"	"ankyrin 1"
"IBSP"	"3381"	"integrin binding sialoprotein"
"TFB1M"	"51106"	"transcription factor B1, mitochondrial"
